先手: 島本　亮四段
後手: 横山泰明四段
手数 23: ここまでの消費時間は▲島本１３分、△横山２６分。
手数 28: この局面で島本が１８分考えて昼食休憩に入った。ここまでの消費時間は▲島本４９分、△横山１時間４分。昼食の注文は両者無し。
手数 31: ここまでの消費時間は▲島本１時間７分、△横山１時間１１分。
手数 35: ここまでの消費時間は▲島本１時間２８分、△横山２時間４分。
手数 42: ここまでの消費時間は▲島本２時間１４分、△横山３時間２分。
手数 50: この局面で島本が３３分考え、夕食休憩に入った。ここまでの消費時間は▲島本３時間３５分、△横山３時間１６分。
手数 57: ここまでの消費時間は▲島本３時間５４分、△横山３時間３０分。
手数 68: 棋士室の見解は後手優勢。消費時間は▲島本４時間３８分、△横山４時間２８分。
