手数9: ▲１六歩を突き、▲３八銀の前に▲４八玉と上がるのは特徴的な指し方だ。

手数18: 後手はこの手で急戦を明示した。

手数22:

手数25: この手を見て、後手はどのパターンで仕掛けるのが得策か比較検討しているのだろう。

手数29: 戦いの起こりそうな筋に飛車を持っていくのが振り飛車の常套手段。

手数31: まだ仕掛けには至らない。

手数39: 戦いは始まったばかりだ。

手数43: 先に香得し先手がよさそうだが、大変な局面だ。

手数46: ▲６七同銀は△６八飛が角銀両取り。

手数52: ８八の角が負担なので後手が優勢と見られている。

手数53: 驚きの勝負手。

手数61: 目を見張る勝負手！

手数63: 竜取りで取られそうな角を活用する。

手数66: 急所の馬引き。この手が速かった。

手数67: 待望の反撃だが。

手数80: 投了図以下は▲３六玉は△３五金まで、▲５八玉は△６八金までの詰み。

