手数9: 変則的な出だしながら矢倉模様になった。

手数16: ▲２四歩の歩交換を狙う▲７九角に受けが間に合った。

手数18: 腰掛け銀を狙う。

手数19: ▲２七銀なら棒銀だったが。

手数27: 居玉だが、積極的に仕掛ける。

手数37: 片矢倉に組み構想。先手は自由奔放な駒組みだ。

手数42: 片矢倉は８筋、９筋が薄い。

手数45: 棒銀にして攻めを狙う。

手数47: 力強く金を上がる。

手数48: 後手は自然に玉を固める。

手数50: 万全の態勢で仕掛けていく。狙いはどこにあるだろうか。

手数55: 「連打の歩」で香車を取りに行く。

手数56: 後手は５六の金を狙って攻めていく。▲同歩なら△５五歩▲同金△６五歩▲同金△５六歩▲３九角△４六角だ。

手数59: 撤退は辛い。

手数62: 飛車のコビンを攻めていく。

手数66:

手数90: 駒損がひどく、先手の投了となった。

