戦型：矢倉
手合割：平手
先手：田中寅彦
後手：島　　朗
先手年齢：47
後手年齢：41
手数----指手---------消費時間--
 125 ９八玉(88)   ( 0:00/00:00:00)
 126 ８六桂打     ( 0:00/00:00:00)
 127 同　金(87)   ( 0:00/00:00:00)
 128 ６八龍(59)   ( 0:00/00:00:00)
 129 ８八歩打     ( 0:00/00:00:00)
 130 ７八金打     ( 0:00/00:00:00)
 131 ８七金(86)   ( 0:00/00:00:00)
 132 ７七金(78)   ( 0:00/00:00:00)
 133 ７九飛(39)   ( 0:00/00:00:00)
 134 同　龍(68)   ( 0:00/00:00:00)
 135 ７七金(87)   ( 0:00/00:00:00)
 136 ５九飛打     ( 0:00/00:00:00)
 137 ２六桂打     ( 0:00/00:00:00)
 138 ８九龍(79)   ( 0:00/00:00:00)
 139 ８七玉(98)   ( 0:00/00:00:00)
 140 ８六歩打     ( 0:00/00:00:00)
 141 ９六玉(87)   ( 0:00/00:00:00)
 142 ９五銀打     ( 0:00/00:00:00)
 143 同　玉(96)   ( 0:00/00:00:00)
 144 ９四金打     ( 0:00/00:00:00)
 145 投了         ( 0:00/00:00:00)

まで144手で後手の勝ち
